terminal time is 40
initial theta is:  [-1.5  0.   0.   0.1  0.2]
iteration 1: [-1.5  0.   0.   0.1  0.2]
iteration 2: [-1.62794225 -0.05146725  0.48383153  0.3381702   0.2       ]
iteration 3: [-1.2113561   0.03262014 -0.16261246 -0.12806182  0.2       ]
iteration 4: [-1.19666729  0.01224423  0.20671093 -0.25218645  0.2       ]
iteration 5: [-0.50394953  0.05198627 -0.01604002 -1.13037341  0.2       ]
iteration 6: [-0.58260807  0.03110423  0.6731332  -1.07612772  0.2       ]
iteration 7: [-0.45303481  0.02321452  0.70082279 -1.31754989  0.2       ]
iteration 277: [  1.45217956   0.15298259  13.53866359 -10.7207066    0.2       ]
iteration 278: [  1.44745635   0.15268821  13.56005795 -10.71764591   0.2       ]
iteration 279: [  1.43881248   0.15248097  13.5627606  -10.71540145   0.2       ]
iteration 280: [  1.43828889   0.15332296  13.5367077  -10.723339     0.2       ]
iteration 281: [  1.42961883   0.15377236  13.52131012 -10.72714744   0.2       ]
iteration 282: [  1.42463134   0.15388785  13.5358147  -10.73496949   0.2       ]
iteration 283: [  1.42604933   0.15431486  13.53507324 -10.73536669   0.2       ]
iteration 284: [  1.42372932   0.15399459  13.54122013 -10.73927686   0.2       ]
iteration 285: [  1.42197508   0.15517127  13.53783488 -10.73826404   0.2       ]
iteration 286: [  1.41757444   0.15626873  13.51963389 -10.74289718   0.2       ]
iteration 287: [  1.42015768   0.15677203  13.50483256 -10.7484147    0.2       ]
iteration 288: [  1.42333569   0.15734955  13.50393196 -10.75566918   0.2       ]
iteration 289: [  1.42088588   0.15721822  13.51550286 -10.75542575   0.2       ]
iteration 290: [  1.41672473   0.15706038  13.4782404  -10.76686654   0.2       ]
iteration 291: [  1.41766385   0.15715228  13.4872156  -10.77834535   0.2       ]
iteration 292: [  1.41538916   0.15763085  13.50343514 -10.77839063   0.2       ]
iteration 293: [  1.40712887   0.15844017  13.49142658 -10.77676747   0.2       ]
iteration 294: [  1.40321635   0.15886241  13.50193593 -10.77202658   0.2       ]
iteration 295: [  1.40416398   0.1594835   13.51260912 -10.77496369   0.2       ]
iteration 296: [  1.39443714   0.15953942  13.51556382 -10.77391536   0.2       ]
iteration 297: [  1.38599148   0.16004762  13.51490958 -10.77853674   0.2       ]
iteration 298: [  1.3800868    0.16046241  13.49924289 -10.78241572   0.2       ]
iteration 299: [  1.37492317   0.16014897  13.50564304 -10.78416567   0.2       ]
iteration 300: [  1.36884909   0.16066748  13.47909649 -10.78885374   0.2       ]
iteration 301: [  1.36264144   0.16131632  13.4791731  -10.78881418   0.2       ]
iteration 302: [  1.36181021   0.16206899  13.48278555 -10.79971511   0.2       ]
iteration 303: [  1.35421966   0.16290481  13.49758557 -10.80323527   0.2       ]
iteration 304: [  1.34867957   0.16346984  13.5104265  -10.8147821    0.2       ]
iteration 305: [  1.34553253   0.16343183  13.50097164 -10.8174626    0.2       ]
iteration 306: [  1.33771491   0.16313258  13.50847678 -10.8194048    0.2       ]
iteration 307: [  1.32994914   0.16343984  13.49814554 -10.81654533   0.2       ]
iteration 308: [  1.3265445    0.16417432  13.47625835 -10.82298559   0.2       ]
iteration 309: [  1.32397333   0.16534591  13.44217068 -10.82470887   0.2       ]
iteration 310: [  1.31843899   0.1656689   13.46058847 -10.83098171   0.2       ]
iteration 311: [  1.31758972   0.16652492  13.43227067 -10.84073627   0.2       ]
iteration 312: [  1.31533929   0.16725464  13.38788688 -10.84118742   0.2       ]
iteration 313: [  1.30529714   0.16740445  13.38311441 -10.84679253   0.2       ]
iteration 314: [  1.30236875   0.16749655  13.39155762 -10.85136371   0.2       ]
iteration 315: [  1.29741933   0.16766449  13.37108543 -10.86072439   0.2       ]
iteration 316: [  1.29280868   0.16808138  13.35853384 -10.86335243   0.2       ]
iteration 317: [  1.29307652   0.16843104  13.33632595 -10.86397867   0.2       ]
