terminal time is 12
initial theta is:  [-1.5  0.   0.   0.1  0.2]
Nx test is: 20000
Nx observed is: 1000
Alpha is : 0.1
iteration 1: [-1.5  0.   0.   0.1  0.2]
iteration 2: [-2.35123598 -0.08322877 -0.3460094   1.16464074  0.2       ]
iteration 273: [ -4.53155064  -0.43088754 -26.49326067   7.10564327   0.2       ]
iteration 274: [ -4.52076346  -0.4298842  -26.5281447    7.08973359   0.2       ]
iteration 275: [ -4.51177234  -0.4291034  -26.55971333   7.09350257   0.2       ]
iteration 276: [ -4.50760646  -0.42740318 -26.58823211   7.07136989   0.2       ]
iteration 277: [ -4.50104381  -0.42551849 -26.6127011    7.06579121   0.2       ]
iteration 278: [ -4.49334555  -0.42419525 -26.66137705   7.05794931   0.2       ]
iteration 279: [ -4.4833333   -0.42245498 -26.74661259   7.04060699   0.2       ]
iteration 280: [ -4.47068379  -0.42118207 -26.76766195   7.03380636   0.2       ]
iteration 281: [ -4.46119753  -0.41956262 -26.82686026   7.02552974   0.2       ]
iteration 282: [ -4.45198538  -0.41853564 -26.88144521   7.01122126   0.2       ]
iteration 283: [ -4.4280214   -0.41521839 -26.97376476   6.9867934    0.2       ]
iteration 284: [ -4.41196133  -0.41390035 -27.03397014   6.99203602   0.2       ]
iteration 285: [ -4.40434706  -0.41295442 -27.07598321   6.97910658   0.2       ]
iteration 286: [ -4.40191468  -0.41258186 -27.1384776    6.97969247   0.2       ]
iteration 287: [ -4.4007198   -0.41173872 -27.20222025   6.97506333   0.2       ]
iteration 288: [ -4.37936386  -0.41055417 -27.22810718   6.95180379   0.2       ]
iteration 289: [ -4.37257024  -0.41045063 -27.24708282   6.94590666   0.2       ]
iteration 290: [ -4.36323557  -0.40909516 -27.32961787   6.93928708   0.2       ]
iteration 291: [ -4.33584951  -0.40637576 -27.34889198   6.9379071    0.2       ]
iteration 292: [ -4.32232018  -0.40525343 -27.29279976   6.92227188   0.2       ]
iteration 293: [ -4.31272855  -0.40399102 -27.32133547   6.898745     0.2       ]
iteration 294: [ -4.29574204  -0.40339186 -27.36783689   6.8844517    0.2       ]
iteration 295: [ -4.2763371   -0.40225696 -27.37371071   6.8924418    0.2       ]
iteration 296: [ -4.26323211  -0.4021831  -27.37444221   6.88963671   0.2       ]
iteration 297: [ -4.25371104  -0.40048366 -27.36411431   6.88475103   0.2       ]
iteration 298: [ -4.25283624  -0.39871249 -27.40586412   6.87824168   0.2       ]
iteration 299: [ -4.24251295  -0.39801124 -27.43501421   6.88224116   0.2       ]
iteration 300: [ -4.24012446  -0.39731519 -27.46642095   6.88204985   0.2       ]
elapsed time : 2565.17506719
