terminal time is 12
initial theta is:  [-1.5  0.   0.   0.1  0.2]
Nx test is: 20000
Nx observed is: 1000
Alpha is : 0.01
iteration 1: [-1.5  0.   0.   0.1  0.2]
iteration 2: [-2.42289418 -0.09077673 -0.37778315  1.25510463  0.2       ]
iteration 296: [ -3.42454571  -0.38230493 -27.46251978   6.62692798   0.2       ]
iteration 297: [ -3.41780537  -0.38176817 -27.45253994   6.62433807   0.2       ]
iteration 298: [ -3.41760975  -0.38029045 -27.43375925   6.62960551   0.2       ]
iteration 299: [ -3.40520766  -0.37927837 -27.4599888    6.63217071   0.2       ]
iteration 300: [ -3.40859719  -0.37868927 -27.50883491   6.63640359   0.2       ]
iteration 301: [ -3.40598648  -0.37819935 -27.53088353   6.64017438   0.2       ]
iteration 302: [ -3.3962295   -0.37819352 -27.52295443   6.64871886   0.2       ]
iteration 303: [ -3.38978839  -0.37672719 -27.51372638   6.65607637   0.2       ]
iteration 304: [ -3.38097963  -0.37586008 -27.52353899   6.64999571   0.2       ]
iteration 305: [ -3.36712612  -0.3749326  -27.55032936   6.64810387   0.2       ]
iteration 306: [ -3.35680133  -0.37427413 -27.53761265   6.6401771    0.2       ]
iteration 307: [ -3.35191147  -0.37353573 -27.51271607   6.64030074   0.2       ]
iteration 308: [ -3.34998332  -0.37277479 -27.5136599    6.63919347   0.2       ]
iteration 309: [ -3.34351897  -0.37295502 -27.5323678    6.64326628   0.2       ]
iteration 310: [ -3.3353138   -0.37227965 -27.50629397   6.64478199   0.2       ]
iteration 311: [ -3.32125191  -0.37123363 -27.47632762   6.62452817   0.2       ]
iteration 312: [ -3.31215647  -0.37096909 -27.4385599    6.63441811   0.2       ]
iteration 313: [ -3.3072726   -0.37037736 -27.42097539   6.61952014   0.2       ]
iteration 314: [ -3.29894397  -0.37157177 -27.40771675   6.61206296   0.2       ]
iteration 315: [ -3.29221836  -0.37104458 -27.37204026   6.60790696   0.2       ]
iteration 316: [ -3.28682127  -0.37097187 -27.38042897   6.60707427   0.2       ]
